site,prim,1,2
1,1,0,0
1,2,0,0
1,3,0,0
1,4,NA,NA
2,1,0,0
2,2,NA,NA
2,3,NA,NA
2,4,NA,NA
3,1,4,9
3,2,6,7
3,3,NA,NA
3,4,NA,NA
4,1,1,1
4,2,2,1
4,3,0,0
4,4,NA,NA
5,1,0,0
5,2,0,0
5,3,0,0
5,4,NA,NA
6,1,0,0
6,2,5,3
6,3,NA,NA
6,4,NA,NA
7,1,0,0
7,2,0,0
7,3,0,0
7,4,NA,NA
8,1,2,2
8,2,1,0
8,3,0,0
8,4,NA,NA
9,1,0,0
9,2,0,0
9,3,0,0
9,4,NA,NA
10,1,0,0
10,2,0,0
10,3,0,0
10,4,NA,NA
11,1,0,0
11,2,0,0
11,3,0,0
11,4,NA,NA
12,1,0,0
12,2,NA,NA
12,3,NA,NA
12,4,NA,NA
13,1,3,2
13,2,0,0
13,3,1,2
13,4,NA,NA
14,1,0,0
14,2,NA,NA
14,3,NA,NA
14,4,NA,NA
15,1,0,0
15,2,NA,NA
15,3,NA,NA
15,4,NA,NA
16,1,2,5
16,2,NA,NA
16,3,NA,NA
16,4,NA,NA
17,1,0,0
17,2,NA,NA
17,3,NA,NA
17,4,NA,NA
18,1,0,0
18,2,NA,NA
18,3,NA,NA
18,4,NA,NA
19,1,0,0
19,2,NA,NA
19,3,NA,NA
19,4,NA,NA
20,1,0,0
20,2,NA,NA
20,3,NA,NA
20,4,NA,NA
21,1,0,0
21,2,NA,NA
21,3,NA,NA
21,4,NA,NA
22,1,0,0
22,2,NA,NA
22,3,NA,NA
22,4,NA,NA
23,1,0,0
23,2,0,0
23,3,0,1
23,4,NA,NA
24,1,NA,NA
24,2,NA,NA
24,3,NA,NA
24,4,NA,NA
25,1,2,2
25,2,13,7
25,3,NA,NA
25,4,NA,NA
26,1,2,1
26,2,1,3
26,3,3,2
26,4,NA,NA
27,1,1,1
27,2,0,0
27,3,3,6
27,4,1,1
